GSM5956321	GSM5956322	GSM5956323	GSM5956324	GSM5956325	GSM5956326	GSM5956327	GSM5956328	GSM5956329	GSM5956330	GSM5956331	GSM5956332	GSM5956333	GSM5956334	GSM5956335	GSM5956336	GSM5956337	GSM5956338
chr14_28191748	6.88888888888889	10.1111111111111	13.2222222222222	7.33333333333333	16.2222222222222	13.5555555555556	11.5555555555556	8.5	16.8888888888889	8.44444444444444	16.8888888888889	11.6666666666667	14.7777777777778	9.55555555555556	3.66666666666667	11.1111111111111	11	3.66666666666667
chr12_35970981	21.1111111111111	10.1111111111111	7.44444444444444	4.77777777777778	9.77777777777778	8.88888888888889	7.83333333333333	12.6111111111111	6.61111111111111	0	0	7.33333333333333	10	7	7.33333333333333	10.2222222222222	0	16.8888888888889
chr3_26397925	5.72222222222222	5.88888888888889	10.2222222222222	17.1111111111111	10	8.44444444444444	16.5	20.7222222222222	15.9444444444444	11	12.2222222222222	15.1111111111111	12.6666666666667	3.27777777777778	10.2777777777778	6.16666666666667	11.7222222222222	14
chr2_127005013	4.55555555555556	1.05555555555556	4.88888888888889	8.33333333333333	3.22222222222222	7.27777777777778	7.11111111111111	4.61111111111111	4.11111111111111	17.1111111111111	10.7222222222222	3.77777777777778	3.55555555555556	3.77777777777778	2	6.66666666666667	24.1111111111111	9.22222222222222
chr2_153253333	18.1111111111111	6.88888888888889	16.5555555555556	12.8333333333333	6.61111111111111	12.2222222222222	9.55555555555556	10.1111111111111	10.4444444444444	17.4444444444444	2	11.3333333333333	11	5.88888888888889	9.88888888888889	6.16666666666667	19.7777777777778	17.5555555555556
chr1_209140972	3.27777777777778	1.33333333333333	2.61111111111111	0.111111111111111	5.88888888888889	4.55555555555556	13.0555555555556	8.88888888888889	11	12.9444444444444	0	5.88888888888889	4.77777777777778	7.72222222222222	3.33333333333333	5.88888888888889	2	3.66666666666667
chr18_28415916	26.3333333333333	12.1111111111111	12.6666666666667	19.6666666666667	11.1666666666667	23.8888888888889	22.1111111111111	14.4444444444444	27.3888888888889	15.5	29.1111111111111	33.1666666666667	24.1111111111111	14.8333333333333	26.8333333333333	14.7777777777778	17.0555555555556	24.7777777777778
chr21_12011341	6.88888888888889	0	2	0.111111111111111	5.38888888888889	0.555555555555556	4.88888888888889	0	2	5.66666666666667	1.88888888888889	3.27777777777778	1.05555555555556	4.88888888888889	2	2	7.61111111111111	9
chrX_88034806	2.44444444444444	5.05555555555556	4.11111111111111	0.666666666666667	9	2	5.77777777777778	2.88888888888889	3.38888888888889	0	2	1.55555555555556	0	2.44444444444444	4.88888888888889	7.44444444444444	5.77777777777778	0
chr7_9807703	6.33333333333333	4.94444444444444	8.44444444444444	15.9444444444444	6.33333333333333	13.8333333333333	7.83333333333333	6.55555555555556	11	16.5	4.38888888888889	12.1111111111111	10.3333333333333	11.1111111111111	10.8888888888889	13.8888888888889	2	9.22222222222222
chr12_127095576	10	17.1111111111111	15.3888888888889	28	20.7222222222222	14.1666666666667	22.2222222222222	13.3888888888889	15.7777777777778	18	12.3333333333333	16.6666666666667	13.4444444444444	15	9.22222222222222	18.5	17.1111111111111	13.8888888888889
chr11_34687536	4.61111111111111	0	0	6.33333333333333	5.88888888888889	6.88888888888889	4.66666666666667	3.55555555555556	2	6.33333333333333	2	2	1.33333333333333	3.66666666666667	8.44444444444444	2.88888888888889	7.33333333333333	13.0555555555556
chr22_11720610	8.38888888888889	3.38888888888889	3.38888888888889	4.66666666666667	4.11111111111111	4.77777777777778	3.38888888888889	0	6.61111111111111	3.11111111111111	2	4.11111111111111	5.05555555555556	3.16666666666667	1.33333333333333	1.55555555555556	4.61111111111111	0
chr8_108502884	3.05555555555556	4.11111111111111	0	0.444444444444444	4.66666666666667	7	2.44444444444444	4.11111111111111	0	2	1.88888888888889	5.88888888888889	5.66666666666667	8.44444444444444	4.11111111111111	1.55555555555556	5.88888888888889	5.88888888888889
chr6_23676430	2	2	1.94444444444444	5.44444444444444	0	2	1.55555555555556	1.55555555555556	0	3.66666666666667	1.72222222222222	1.33333333333333	4.66666666666667	8.11111111111111	1.38888888888889	1.55555555555556	4.66666666666667	0
chr18_17044037	2	0.888888888888889	0.888888888888889	0	2	3.22222222222222	1.55555555555556	4.88888888888889	4.11111111111111	1.55555555555556	0	7.55555555555556	1.33333333333333	4.77777777777778	0	2	10	0
chr15_19796574	10.4444444444444	9.16666666666667	9.22222222222222	12.8888888888889	20.4444444444444	8.44444444444444	15.8888888888889	20.4444444444444	10.6666666666667	6	13.6666666666667	9.22222222222222	15.5	17.5555555555556	4.66666666666667	6.44444444444444	2.83333333333333	13.7777777777778
chr12_93959174	2.88888888888889	3.5	0.888888888888889	0	2	1.55555555555556	3.77777777777778	1.94444444444444	8.88888888888889	3.55555555555556	8.22222222222222	3.77777777777778	6	0	5.5	6	2	5.88888888888889
chr5_49020078	4.77777777777778	3.55555555555556	6.5	10	4.77777777777778	11	5.72222222222222	5.77777777777778	6.22222222222222	7.83333333333333	4.77777777777778	2	12.6666666666667	8.44444444444444	6.44444444444444	3.66666666666667	6.61111111111111	8.61111111111111
chr1_224338665	8.33333333333333	22.1111111111111	5.88888888888889	12.6666666666667	17.5555555555556	10.3333333333333	12.7222222222222	14.8333333333333	15.7777777777778	22.9444444444444	11.7777777777778	17.0555555555556	14.7222222222222	24.1111111111111	7.88888888888889	20.4444444444444	29.1111111111111	24.1111111111111
chr11_24329413	12.6111111111111	8.5	15.3333333333333	9.22222222222222	14.7222222222222	13.7777777777778	10.9444444444444	18.8888888888889	11.1111111111111	5.44444444444444	11.5555555555556	11	18.5	22.2777777777778	9.5	12.1111111111111	11	7.88888888888889
chr8_44629844	7.94444444444444	9.22222222222222	4.77777777777778	4.77777777777778	5.88888888888889	0.888888888888889	9.05555555555556	0	8.11111111111111	13.7777777777778	0	3.66666666666667	8.05555555555556	1.5	2	3.55555555555556	2.33333333333333	2
chr3_88503663	2.88888888888889	4.66666666666667	1.55555555555556	2.55555555555556	0.444444444444444	0	10.6111111111111	5.05555555555556	2.88888888888889	1.77777777777778	2	11	1.16666666666667	1.55555555555556	1.16666666666667	10.7777777777778	11	1.77777777777778
chr3_88505663	3.77777777777778	5.44444444444444	3	4.66666666666667	0	2	10.1111111111111	3.44444444444444	0	5.88888888888889	2.44444444444444	2	3.61111111111111	7.66666666666667	11.3888888888889	2.88888888888889	2	3.66666666666667
chr22_12903492	4.66666666666667	4.77777777777778	7.33333333333333	2.55555555555556	1.16666666666667	5.88888888888889	3.77777777777778	1.33333333333333	2	3.66666666666667	0	3.38888888888889	5.5	3.38888888888889	1.16666666666667	1.55555555555556	2	2
chr2_211220005	20.0555555555556	16.3333333333333	11	15.5	10	22.5555555555556	25.2777777777778	11.8333333333333	10.0555555555556	21.1111111111111	22.7777777777778	18.1666666666667	22.2777777777778	16.8888888888889	25.6666666666667	31.7777777777778	18.5	22.9444444444444
chr3_63212536	4.77777777777778	11.1111111111111	6.88888888888889	2.88888888888889	7	1.05555555555556	7	1.88888888888889	10.0555555555556	5.88888888888889	9	10	4.61111111111111	1.22222222222222	2	13.1111111111111	7.94444444444444	0.111111111111111
chr3_63215536	1.88888888888889	1.16666666666667	9.55555555555556	0.111111111111111	4.66666666666667	2.55555555555556	0	0	4.77777777777778	2.88888888888889	1.83333333333333	5.88888888888889	1.55555555555556	1.38888888888889	3.55555555555556	10	2	0.111111111111111
chr7_19790053	5.44444444444444	6.33333333333333	10	19	11	12.6666666666667	8.44444444444444	6.88888888888889	14.7222222222222	7.11111111111111	4.77777777777778	6.72222222222222	19.4444444444444	17.0555555555556	3.77777777777778	1.66666666666667	9.77777777777778	23.8888888888889
chr15_74522852	6.88888888888889	1.55555555555556	10	5.55555555555556	3.66666666666667	5.44444444444444	5.88888888888889	0	0.111111111111111	6.44444444444444	13.2222222222222	4.11111111111111	5.44444444444444	11.1111111111111	6.44444444444444	13.2222222222222	12.2222222222222	6.88888888888889
chr13_26769698	12.2222222222222	11	4.38888888888889	10	7.88888888888889	5.44444444444444	8.22222222222222	7.88888888888889	4.61111111111111	12.2222222222222	7.94444444444444	6.11111111111111	24.7222222222222	11.3333333333333	7.83333333333333	12.7222222222222	14.7777777777778	4.66666666666667
chr4_91981225	11.3333333333333	13.1111111111111	6.88888888888889	10.2777777777778	7.94444444444444	0.777777777777778	15.5	14.7777777777778	9.22222222222222	12.2222222222222	2	10	4.11111111111111	13.0555555555556	10	0.444444444444444	8.38888888888889	6.66666666666667
chr3_193118691	7.77777777777778	12.8888888888889	3.55555555555556	7.77777777777778	6.66666666666667	10.3333333333333	8.94444444444444	0	12.8888888888889	13.4444444444444	11.6666666666667	5.88888888888889	11	10.1111111111111	10	3.66666666666667	7.77777777777778	7.77777777777778
chr8_134071700	15.1111111111111	10.0555555555556	18.8888888888889	17.1111111111111	13.4444444444444	21.5555555555556	18.2222222222222	14.5555555555556	20.4444444444444	7.88888888888889	15	13.7777777777778	14.6111111111111	20.4444444444444	17	12.1111111111111	16.5	7.83333333333333
chr3_169682429	15	8.11111111111111	8.44444444444444	5.77777777777778	7.61111111111111	4.05555555555556	4.66666666666667	9.33333333333333	6.22222222222222	8.11111111111111	17.0555555555556	8.94444444444444	0.888888888888889	7.77777777777778	7.11111111111111	8.44444444444444	11.1111111111111	7.94444444444444
chr20_28276311	8.11111111111111	2.88888888888889	7.61111111111111	4.94444444444444	7.16666666666667	11.3333333333333	8.11111111111111	0	18.6111111111111	4.88888888888889	6.61111111111111	5.55555555555556	8.88888888888889	13.6666666666667	8	4.88888888888889	2.44444444444444	2.44444444444444
chr20_23591867	11.1111111111111	1.88888888888889	4.88888888888889	10.4444444444444	5.77777777777778	6.94444444444444	7.83333333333333	4.55555555555556	10.6111111111111	6.11111111111111	0.5	5.5	7.61111111111111	7.61111111111111	10.3333333333333	8.44444444444444	7.61111111111111	8.33333333333333
chr7_17566415	11.3333333333333	7.61111111111111	15.1111111111111	12.0555555555556	8.72222222222222	8.44444444444444	15.7777777777778	5.44444444444444	8.11111111111111	12.2222222222222	13.3888888888889	12.8333333333333	10.7777777777778	12.8888888888889	4.55555555555556	1.94444444444444	8.33333333333333	12.1111111111111
chr9_114814025	14.7222222222222	6.88888888888889	10.2777777777778	6.55555555555556	11	17.6666666666667	3.55555555555556	28.2222222222222	12.6111111111111	7.33333333333333	17.1111111111111	13.7777777777778	16.2222222222222	5.44444444444444	9	17.0555555555556	8.44444444444444	20.4444444444444
chr14_18350003	13.6666666666667	12.1111111111111	15.5	14.7222222222222	12.2222222222222	9.55555555555556	12	15.7777777777778	9.22222222222222	9.22222222222222	8.66666666666667	18.7222222222222	20.5555555555556	14.7777777777778	16.3333333333333	11.1111111111111	2.66666666666667	21.1111111111111
chr8_29452672	2	5.66666666666667	3.66666666666667	3.22222222222222	3.05555555555556	9.22222222222222	0	7	3.11111111111111	6.88888888888889	0	5.66666666666667	5.61111111111111	9.22222222222222	0	2.55555555555556	0.777777777777778	2
chr18_17677499	10.7777777777778	3.77777777777778	3.44444444444444	0	0	3.16666666666667	7.44444444444444	6.16666666666667	2.55555555555556	9.5	8.44444444444444	3.77777777777778	13.7777777777778	9.16666666666667	8.44444444444444	4.61111111111111	2	0
chr8_188126	1.33333333333333	3	6.55555555555556	2	7.66666666666667	2.88888888888889	2.83333333333333	4.88888888888889	11	3.77777777777778	0	7.88888888888889	10	2.55555555555556	5.44444444444444	6.16666666666667	9.66666666666667	6.88888888888889
chr6_45670121	3.5	13.7777777777778	14.4444444444444	11.1111111111111	19	10.3333333333333	10	5.72222222222222	19.2777777777778	8.61111111111111	7.05555555555556	11.7777777777778	5.88888888888889	3.77777777777778	10.1111111111111	8.66666666666667	15.3333333333333	11
chr3_40902114	10	2.88888888888889	8.88888888888889	5.16666666666667	13.7777777777778	8.44444444444444	11	12.3333333333333	20.5	16.2222222222222	15.9444444444444	15.1111111111111	8.94444444444444	7.88888888888889	14.5	17.1111111111111	2.88888888888889	16.5
chr3_40906114	3.66666666666667	1.38888888888889	1	9.16666666666667	0.444444444444444	0	4.88888888888889	5.44444444444444	3.77777777777778	3.55555555555556	7.11111111111111	1.22222222222222	0.888888888888889	10.3333333333333	2	2.22222222222222	0	3.77777777777778
chr10_84758891	1	1.38888888888889	2.44444444444444	5.88888888888889	0.444444444444444	6.44444444444444	15	1.33333333333333	2	1.55555555555556	12.6666666666667	4.77777777777778	3.66666666666667	1.16666666666667	1.38888888888889	1	2	1.72222222222222
chr10_84774412	4.94444444444444	4.38888888888889	0	5.77777777777778	1.5	1.22222222222222	2.77777777777778	4.77777777777778	3.22222222222222	2.61111111111111	3.77777777777778	0	2.55555555555556	5.77777777777778	0	5.5	1.05555555555556	0
chr3_93427275	11.1666666666667	11.1111111111111	6.94444444444444	7.33333333333333	12.6666666666667	2.61111111111111	12.3333333333333	6.88888888888889	11.3333333333333	3.55555555555556	0	12.6111111111111	10.5	6.88888888888889	5.77777777777778	15	8.44444444444444	8.44444444444444
chr3_93473317	9.22222222222222	1.55555555555556	6.88888888888889	5.05555555555556	8.66666666666667	9	5.11111111111111	2.44444444444444	19	8.72222222222222	5.77777777777778	8.38888888888889	5.77777777777778	2	9.22222222222222	15	8	0
chr2_57271168	6.33333333333333	2	4.11111111111111	8.11111111111111	13.7777777777778	5.05555555555556	9.77777777777778	8.33333333333333	6.94444444444444	5.88888888888889	2.61111111111111	8.33333333333333	5.44444444444444	4.55555555555556	10.7777777777778	2.66666666666667	2.88888888888889	6.33333333333333
chr2_57283168	20.5	16.5555555555556	20	12.1111111111111	15.3888888888889	24.1111111111111	13.7777777777778	10.8888888888889	4.11111111111111	16.7777777777778	5.66666666666667	12.3333333333333	17.6666666666667	13.0555555555556	15.7777777777778	7.33333333333333	13.9444444444444	8.44444444444444
chr16_31630789	8.72222222222222	6.94444444444444	19.6666666666667	6	2.77777777777778	13.7777777777778	21.7222222222222	13.0555555555556	12.6666666666667	5.88888888888889	9.16666666666667	12.6666666666667	13.0555555555556	8.44444444444444	18.2222222222222	12.6666666666667	16.7777777777778	12.5
